Age	Position	Avg. +/-	Avg. G	Avg. S%	Avg. S	Number of Records
18	Left Wing	-10.583333333	12.75	15.208333333	95.666666667	12
41	Center	-9.25	7	11.975	58.75	4
42	Left Wing	-8.666666667	5	10.166666667	53.333333333	3
18	Defender	-7.48	4.8	6.4	70.36	25
38	Right Wing	-6.696969697	13	11.369696970	115.030303030	33
18	Center	-5.340909091	13.25	11.786363636	101.090909091	44
41	Left Wing	-5.333333333	6.666666667	12	56.166666667	6
38	Left Wing	-4.642857143	12.928571429	10.635714286	99.642857143	14
40	Center	-4.133333333	9.466666667	15.06	69.933333333	15
38	Center	-3.777777778	9.511111111	10.368888889	86.177777778	45
19	Center	-3.742424242	13.303030303	11.465151515	104.166666667	132
19	Right Wing	-3.486842105	12.039473684	12.369736842	93.723684211	76
20	Right Wing	-3.297979798	10.106060606	11.511616162	81.676767677	198
19	Left Wing	-3.220588235	10.970588235	11.486764706	86.338235294	68
19	Defender	-3.141732283	4.527559055	5.653543307	76.007874016	127
20	Defender	-2.905405405	4.530405405	4.849324324	77.716216216	296
37	Center	-2.56	11.013333333	10.849333333	97.84	75
20	Center	-2.5	11.721518987	11.238924051	94.325949367	316
36	Left Wing	-2.394366197	10.169014085	10.473239437	90.281690141	71
39	Center	-2.333333333	10.925925926	11.703703704	90.259259259	27
32	Left Wing	-2.081896552	11.271551724	10.806896552	97.034482759	232
37	Right Wing	-1.862745098	10.901960784	10.190196078	99.372549020	51
37	Left Wing	-1.795454545	11.113636364	11.518181818	90.886363636	44
23	Right Wing	-1.713012478	12.424242424	11.590730838	98.039215686	561
33	Center	-1.643835616	11.520547945	10.999086758	100.579908676	219
21	Defender	-1.569138277	4.154308617	5.074949900	73.348697395	499
20	Left Wing	-1.333333333	11.066666667	12.206190476	85.419047619	210
39	Right Wing	-1.304347826	13.869565217	12.382608696	113.434782609	23
35	Left Wing	-1.141414141	12.838383838	11.171717172	108.636363636	99
32	Right Wing	-1.116591928	12.134529148	10.433183857	106.659192825	223
34	Left Wing	-1.053435115	11.541984733	10.555725191	103.526717557	131
26	Right Wing	-0.969111969	13.642857143	11.315830116	106.830115830	518
40	Right Wing	-0.928571429	13.357142857	13.5	104.785714286	14
24	Center	-0.915492958	12.514866980	11.3	101.543035994	639
33	Left Wing	-0.901840491	11	10.677914110	94.466257669	163
34	Center	-0.895348837	11.156976744	11.015697674	96.197674419	172
29	Left Wing	-0.869897959	12.229591837	11.275765306	100.673469388	392
29	Center	-0.808314088	13.108545035	11.498383372	108.533487298	433
21	Right Wing	-0.789644013	12.181229773	12.024595469	92.226537217	309
21	Center	-0.738255034	12.407158837	11.777404922	95.118568233	447
27	Left Wing	-0.729458918	12.488977956	11.386573146	101.180360721	499
33	Right Wing	-0.711229947	12.652406417	10.606951872	106.983957219	187
35	Right Wing	-0.696969697	13.727272727	11.473737374	115.656565657	99
30	Left Wing	-0.672268908	11.392156863	10.868627451	97.313725490	357
35	Center	-0.652482270	11.418439716	11.582269504	97.524822695	141
27	Right Wing	-0.644710579	13.185628743	11.111377246	107.127744511	501
22	Defender	-0.632592593	4.242962963	4.985925926	75.925925926	675
22	Left Wing	-0.589861751	11.214285714	11.433640553	88.930875576	434
24	Right Wing	-0.589836661	13.214156080	11.631215971	104.152450091	551
22	Center	-0.574171030	12.092495637	11.804363002	94.410122164	573
23	Left Wing	-0.573260073	12.049450549	11.591575092	95.598901099	546
31	Center	-0.565749235	12.318042813	11.175229358	103.856269113	327
32	Center	-0.542124542	12.457875458	10.874358974	104.219780220	273
30	Center	-0.538873995	12.898123324	11.199195710	107.739946381	373
21	Left Wing	-0.5	10.827586207	11.719827586	84.255747126	348
29	Right Wing	-0.486842105	14.713157895	11.514210526	117.578947368	380
42	Right Wing	-0.4	13.2	11.22	118.4	5
30	Right Wing	-0.389204545	12.940340909	11.446875	106.982954545	352
25	Center	-0.333868379	12.396468700	11.123756019	102.229534510	623
28	Left Wing	-0.225733634	13.013544018	11.663882619	104.851015801	443
28	Center	-0.213656388	13.211453744	11.401541850	108.592511013	454
24	Left Wing	-0.201353638	12.363790186	11.453468697	97.648054146	591
22	Right Wing	-0.183529412	12.835294118	11.894823529	99	425
36	Right Wing	-0.117647059	12.529411765	10.792647059	107.132352941	68
25	Right Wing	-0.060658579	12.942807626	11.356499133	103.745233969	577
23	Center	-0.043548387	12.390322581	11.430806452	98.474193548	620
26	Center	-0.029209622	12.465635739	11.286082474	102.013745704	582
26	Left Wing	-0.016759777	13.301675978	11.995716946	102.364990689	537
31	Left Wing	0.020270270	11.662162162	10.855405405	100.263513514	296
28	Right Wing	0.039735099	13.532008830	11.186754967	109.366445916	453
24	Defender	0.059838895	4.263521289	4.862600690	76.386651323	869
23	Defender	0.150357995	4.158711217	4.921002387	74.476133652	838
26	Defender	0.369390104	4.223245109	5.002186421	76.304948216	869
37	Defender	0.375	3.333333333	4.369791667	70.583333333	96
36	Center	0.442307692	12.028846154	10.846153846	102.394230769	104
31	Right Wing	0.487179487	12.879120879	11.763369963	103.571428571	273
34	Right Wing	0.5	13.293103448	11.324137931	114.982758621	116
25	Defender	0.501706485	4.342434585	4.912286689	78.765642776	879
39	Defender	0.684210526	3.526315789	4.173684211	78.868421053	38
18	Right Wing	0.684210526	14.947368421	11.994736842	106.210526316	19
32	Defender	0.754257908	3.793187348	4.621654501	75.002433090	411
33	Defender	0.845161290	3.561290323	4.600645161	73.167741935	310
41	Defender	0.857142857	2.571428571	2.171428571	76.285714286	7
25	Left Wing	0.989228007	13.052064632	11.657630162	101.263913824	557
28	Defender	0.991769547	3.968449931	4.954732510	73.742112483	729
39	Left Wing	1.1	16	10.44	142.8	10
36	Defender	1.131034483	3.379310345	4.552413793	66.710344828	145
27	Center	1.183794466	13.725296443	11.403952569	110.549407115	506
34	Defender	1.204	3.428	4.2612	70.072	250
35	Defender	1.574879227	3.260869565	4.460869565	69.497584541	207
31	Defender	1.670731707	3.873983740	4.600406504	73.697154472	492
29	Defender	1.723809524	3.938095238	4.563968254	79.168253968	630
27	Defender	1.774069320	4.195121951	4.943774069	77.948652118	779
30	Defender	1.896057348	4.105734767	4.811827957	77.186379928	558
40	Defender	3.944444444	3.277777778	4.622222222	71.055555556	18
42	Defender	4.333333333	2.666666667	3.166666667	90.666666667	3
40	Left Wing	4.571428571	15.571428571	16.242857143	94.714285714	7
38	Defender	4.910714286	3.892857143	4.4125	81.107142857	56
43	Right Wing	8.666666667	12	9	90.333333333	3
41	Right Wing	8.8	23.4	11.62	202.4	5
